title,text,subject,date
RTA told to take steps to increase time gap between private buses,"The Kerala High Court has directed the Regional Transport Authority (RTA) to take effective steps to prevent reckless driving by private buses in Kochi, including by increasing the time gap between buses that operate on the same routes. The Transport department had mulled increasing the time gap between buses on the same routes in urban areas to a minimum of five minutes and in rural areas to 10 minutes to prevent undue competition and subsequent reckless driving that often resulted in accidents. The High Court expressed angst at the RTA meeting not being convened so far, although it had ordered on August 8 to convene it within a fortnight. The government pleader said that a meeting had now been planned for September 29. Traffic police The court further said that traffic police personnel could be deployed at junctions on arterial stretches like Banerjee Road-Palarivattom and Pallimukku-Vyttila, instead of relying on signal lights at junctions, to lessen traffic congestion. Using walkie-talkies, personnel would be able to communicate with one another, ensuring better traffic management. An amicus curiae report in this regard was submitted to the District Police Chief (Kochi City). The court said that police personnel would be able to help streamline traffic flow, depending on the",health,28-Aug-25
Elderly couple found dead in Kannur,"An elderly couple, reportedly relatives of Forest Minister A.K. Saseendran, were found burnt to death at their house at Alavil, Kannur, on Thursday (August 28, 2025) evening. The deceased were identified as Premarajan, 75, and his wife Sreelekha, 69. The incident came to light around 5 p.m. when their driver failed to get a response after repeatedly calling them. He alerted neighbours, and on inspection noticed the fire. On entering inside, the charred bodies of the couple were reportedly found. The police have registered a case of unnatural death. Published - August 29, 2025 01:45 am IST",environment,28-Aug-25
"Questions in Justice Nagarathna’s dissent remain even as Justices Aradhe, Pancholi to be sworn in as Supreme Court judges on August 29","Questions raised by Justice B.V. Nagarathna in a dissent to the elevation of Justice Vipul Manubhai Pancholi to the Supreme Court remain even as Chief Justice of India B.R. Gavai is scheduled to read the oath of office to the judge and Justice Alok Aradhe on Friday (August 29, 2025). The lone woman apex court judge’s questions in her dissent included the reasons behind the transfer of Justice Pancholi from Gujarat to Patna in July 2023 and why a team of senior lawyers had urgently sought a meeting with then Chief Justice of India D.Y. Chandrachud (now retired) in the presence of Justice M.R. Shah (retired), a then apex court judge whose parent High",science,28-Aug-25
Chengalpattu farmers want paddy DPCs to be opened soon for Sornavari crop,"Farmers of Chengalpattu have urged the government to open direct procurement centres (DPCs) for the Swarnavari (or Sornavari) paddy season, which is almost nearing completion. Around 13,500 hectares are under cultivation this year under Swarnavari in the district. Seeds are sown for Swarnavari in April and harvest happens in August - September. R. Muralimohan of the Chengalpattu District Farmers Association said many farmers have harvested their crop and were worried about it getting wet and thereby losing colour. “Farmers will have to dry the paddy again. If there is increased moisture in the paddy, it will lead to farmers having to sell to traders. There is a backlog of",environment,28-Aug-25
Bihar police officers to get ?1.50 crore insurance in case of death on duty,"In Bihar, if police personnel die in an accident during duty, they will get the benefit of insurance of ?1.50 crore. Additional Director General (ADG- Budget, Appeal and Welfare) Dr. Kamal Kishore Singh shared the information at a press conference on Thursday (August 28, 2025) in the auditorium of Police Headquarters Sardar Patel Bhawan. Mr. Singh said that a few months ago, a vehicle crushed a woman constable during vehicle checking on Atal Path in Patna. The woman cop was hit hard and succumbed to her injuries during treatment. “She is being given an insurance benefit of ?1.5 crore. She is the first police personnel to get benefits under this new facility,”Mr. Singh said. The ex-gratia by the government is given to a dependent family in addition to other facilities including jobs. He further said, “In addition to government facilities for police personnel, charitable funds, education fund and health fund have been formed at the department level. Financial assistance is provided to needy police personnel from this from time to time. Fifty-three people will be given assistance of Rs 6.84 lakh from the charitable fund. Now the children of policemen will get assistance for education up to PG level from the education fund. Earlier assistance was given only up to graduate level.” In case of untimely death, the family members of the concerned police personnel are given ?24000 annually from the Police Assistance Welfare Fund. “This year, an amount of ?32 lakh is",technology,28-Aug-25
VIT Chennai signs 7 MoUs and patent commercialisation agreement at industry-academia summit,"VIT Chennai on Thursday signed seven Memoranda of Understanding (MoUs) and a patent commercialisation agreement at its Industry-Academia Innovators Conclave to mark its 15-year celebrations. While the MoUs would aim to train students in robotics, automation, and network security, including quality concepts and shop-floor practices, the patent transfer agreement signed with Chennai-based Datayaan Solutions would allow VIT’s water quality assessment technology to be scaled up to be used commercially. Themed ‘Smart Mobility, Sustainable Manufacturing, and Automation for a Resilient Future’, the two-day conclave brought together 48 industry experts, over 140 industry participants, and 55 academicians. At the inaugural event, A.S. Ramadoss, director, Global Automotive Research Centre, pointed out real-world challenges such as supply chain disruptions witnessed during the pandemic, semiconductor shortages, and the scarcity of rare materials for electric vehicles while emphasising that collective problem-solving between industry and academia can lead to breakthroughs with transformative global impact. Samba Moorthy, president, Epson India, said history held the key to modern day data",health,28-Aug-25
Acting DGP to head Tamil Nadu police force till Shankar Jiwal’s successor is appointed,"With incumbent Director-General of Police/Head of Police Force Shankar Jiwal set to retire from service on August 31, 2025, the State government may go ahead posting an ad hoc DGP till a full-time officer is appointed in compliance with the Supreme Court guidelines. Since a proposal comprising the list of DGP-rank officers qualifying to the top post was not sent to the Union Public Service Commission (UPSC) within the stipulated time, the State is left with no other option but to appoint an officer to hold additional charge of DGP/HoPF. The Supreme Court had ruled in the Prakash Singh case that, “all the States shall send their proposals in anticipation of the vacancies to the UPSC well",science,28-Aug-25
A dream derailed,": In the puzzle to solve Bengaluru’s traffic nightmare, the long-delayed Bengaluru Suburban Railway Project (BSRP) was billed as the third pillar of public transport after Bangalore Metropolitan Transport Corporation (BMTC) and Namma Metro. The project was sanctioned in October 2020 after decades of deliberation and was designed to carry nearly 20 lakh commuters every day across Bengaluru and its outskirts. It envisaged modern nine-coach air-conditioned trains running at high frequencies of five to 12 minutes along four corridors stretching 148 kilometres and covering 58 stations. The sanctioned cost of ?15,767 crore was seen as an investment in not only mobility, but also economic efficiency and environmental sustainability. Corridor One, running between Majestic and Kempegowda International Airport, was given priority and was originally scheduled to be completed by October 2023, well ahead of the full project deadline of October 2026. 3 years on, little progress When Prime Minister Narendra Modi laid the foundation stone in June 2022, he assured citizens that the 148-km network would be delivered within 40 months, ending a 40-year wait. That announcement had generated a wave of optimism across Bengaluru, where traffic congestion has long been a daily torment. Yet, more than three years after the sanction, the reality is starkly different. Progress on the ground has been very slow. The project",environment,28-Aug-25
Telangana explains KWDT-II on how water drawal from Nagarjunasagar to Andhra enhanced,"HYDERABAD The combined Andhra Pradesh dispensation has reduced the ayacut under Nagarjunasagar project in the Telangana region and increased the same in Andhra region only to bring down the water requirement in Telangana with a view to avail more water, Telangana submitted to the Krishna Water Disputes Tribunal-II headed by Justice Brijesh Kumar. Presenting the case of Telangana before the Tribunal as part of the ongoing arguments over the Section 3 reference made by the Centre to it (Tribunal) for reapportionment of water out of the combined allocation of 811 tmcft of assured water and also surplus water",environment,28-Aug-25
Jammu and Kashmir High Court grants U.T. government 20 days to submit final stand on Gulmarg lease issue,"The Jammu and Kashmir High Court on Thursday (August 29, 2025) granted 20 days to the Union Territory government to submit its final stand on the Gulmarg lease issue, in the wake of the Raj Bhawan and the Chief Minister’s office taking two separate positions. Dozens of hoteliers are unable to extend their lease period after the Lt.-Governor’s administration replaced the rules for lease with a new one in 2022. The Division Bench, comprising J&K Chief Justice Arun Palli and justice Rajnesh Oswal, decided to hear the Gulmarg lease issue again on September 17, while passing the direction to the U.T. government to submit its final stand. The direction came after the court perused the two separate stands submitted to the judges from the Raj Bhawan and the Chief Minister’s office in a sealed cover for the second time. The Raj Bhawan’s stand was submitted through the Additional Advocate General and the CM’s stand through the Special Secretary, Law Department. The two positions, in sealed covers, were presented by the Additional Advocate General and opened to take note of the stands taken by the two top offices of J&K. The court held that the stand of the government of the UT, as envisaged under the Reorganisation Act 2019, should submit “an overt stand” in the next hearing. The court hinted that it is unlikely to entertain the sealed cover stands submitted by the Raj Bhawan and the office of the Chief Minister. User charges Meanwhile, the court also directed the occupants to",science,28-Aug-25
